GENDER,BIPOCFmt,FGFmt,PellFmt,Group2,EYEAR,N,Ret2nd,Ret3rd,Ret4th,GradIn4,GradIn5,GradIn6,GradTerm
M,BIPOC,Not first gen,Pell,1. Rural/Small Rural,2015,4,1,1,1,1,1,,10.75
M,BIPOC,Not first gen,Pell,1. Rural/Small Rural,2016,1,1,1,1,1,,,12
M,BIPOC,Not first gen,Pell,1. Rural/Small Rural,2017,2,1,1,1,,,,10
M,BIPOC,Not first gen,Pell,1. Rural/Small Rural,2018,4,0.75,0.75,,,,,
M,BIPOC,Not first gen,Pell,1. Rural/Small Rural,2019,4,1,,,,,,
M,BIPOC,Not first gen,Pell,2. Other,2014,84,0.845238095,0.785714286,0.795180723,0.392857143,0.630952381,0.702380952,12.59322034
M,BIPOC,Not first gen,Pell,2. Other,2015,72,0.902777778,0.833333333,0.777777778,0.416666667,0.680555556,,12.32692308
M,BIPOC,Not first gen,Pell,2. Other,2016,88,0.875,0.804597701,0.797619048,0.522727273,,,11.09803922
M,BIPOC,Not first gen,Pell,2. Other,2017,56,0.875,0.857142857,0.8,,,,9.333333333
M,BIPOC,Not first gen,Pell,2. Other,2018,57,0.894736842,0.807017544,,,,,
M,BIPOC,Not first gen,Pell,2. Other,2019,64,0.890625,,,,,,
M,Not BIPOC,First gen,Not Pell,1. Rural/Small Rural,2014,8,0.5,0.75,0.75,0.5,0.625,0.625,11.8
M,Not BIPOC,First gen,Not Pell,1. Rural/Small Rural,2015,5,1,0.6,0.5,0.6,0.6,,10
M,Not BIPOC,First gen,Not Pell,1. Rural/Small Rural,2016,7,0.714285714,0.571428571,0.571428571,0.428571429,,,11
M,Not BIPOC,First gen,Not Pell,1. Rural/Small Rural,2017,11,0.545454545,0.636363636,0.636363636,,,,
M,Not BIPOC,First gen,Not Pell,1. Rural/Small Rural,2018,5,0.6,0.6,,,,,
M,Not BIPOC,First gen,Not Pell,1. Rural/Small Rural,2019,6,0.833333333,,,,,,
M,Not BIPOC,First gen,Not Pell,2. Other,2014,71,0.76056338,0.718309859,0.695652174,0.394366197,0.61971831,0.661971831,12.51020408
M,Not BIPOC,First gen,Not Pell,2. Other,2015,70,0.714285714,0.614285714,0.617647059,0.414285714,0.557142857,,11.76923077
M,Not BIPOC,First gen,Not Pell,2. Other,2016,52,0.788461538,0.711538462,0.591836735,0.423076923,,,11.18518519
M,Not BIPOC,First gen,Not Pell,2. Other,2017,57,0.771929825,0.754385965,0.690909091,,,,9.333333333
