GENDER_CD,Group,Group2,BIPOCFmt,FGFmt,CCHE_FAFSA_CODE,Pell,AGI,FedGrants,FedStudentLoans,FedWorkStudy,InstNeedBasedGrants,InstNonNeedBasedGrants,PrivateSchol,TotalStudentLoans,EFC,FAFSA,GotFedGrants,GotFedStudentLoans,GotFedWorkStudy,FedTotal,GotFedAny,GotPrivateSchol,GotStudentLoans,GotInstNBGrant,GotInstNonNeedGrant,GotAidAny,GotNBAid
F,3. Other,2. Other,BIPOC,First gen,1,1,31591,5508,7500,,,,3437.5,7500,83,1,1,1,0,13008,1,1,1,0,0,1,1
F,3. Other,2. Other,Not BIPOC,First gen,1,0,114378,,,,,2000,4000,,28337,1,0,0,0,,0,1,0,0,1,1,0
F,1. Rural,1. Rural/Small Rural,Not BIPOC,Not first gen,1,0,72826,,,,2800,5000,500,,10147,1,0,0,0,,0,1,0,1,1,1,1
F,3. Other,2. Other,Not BIPOC,Not first gen,1,0,104099,,7500,,,,,13500,27062,1,0,1,0,7500,1,0,1,0,0,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,,,29396,0,0,0,0,0,,0,0,1,0,0,1,0
F,1. Rural,1. Rural/Small Rural,Not BIPOC,Not first gen,2,,,,,,,1750,,,0,0,0,0,0,,0,0,0,0,1,1,0
M,1. Rural,1. Rural/Small Rural,Not BIPOC,Not first gen,1,0,138200,,5000,,2400,,,5000,8923,1,0,1,0,5000,1,0,1,1,0,1,1
M,1. Rural,1. Rural/Small Rural,Not BIPOC,Not first gen,2,,,,,,,12500,,,0,0,0,0,0,,0,0,0,0,1,1,0
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,92465,,,,,,,,34612,1,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,7500,,,0,0,0,0,0,,0,0,0,0,1,1,0
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,237272,,,,,16700,16008,,102916,1,0,0,0,,0,1,0,0,1,1,0
M,3. Other,2. Other,BIPOC,Not first gen,1,1,39069,3296.5,7500,,113,,,7500,1997,1,1,1,0,10796.5,1,0,1,1,0,1,1
M,1. Rural,1. Rural/Small Rural,Not BIPOC,Not first gen,1,0,212727,,7500,,,,,7500,54916,1,0,1,0,7500,1,0,1,0,0,1,0
F,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,3500,,,0,0,0,0,0,,0,0,0,0,1,1,0
M,3. Other,2. Other,Not BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,8571.2,,,0,0,0,0,0,,0,0,0,0,1,1,0
M,3. Other,2. Other,BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,BIPOC,Not first gen,1,0,93904,,7500,,9800,,,16500,15608,1,0,1,0,7500,1,0,1,1,0,1,1
M,3. Other,2. Other,Not BIPOC,First gen,1,1,42938,2995,,,,19252,5300,,3365,1,1,0,0,2995,1,1,0,0,1,1,1
F,3. Other,2. Other,Not BIPOC,First gen,1,0,176888,,7500,,,,2000,7500,40185,1,0,1,0,7500,1,1,1,0,0,1,0
M,3. Other,2. Other,BIPOC,Not first gen,1,1,5259,6345,,,9350,,,,0,1,1,0,0,6345,1,0,0,1,0,1,1
M,1. Rural,1. Rural/Small Rural,Not BIPOC,Not first gen,1,1,18456,6295,,,7200,,,,20,1,1,0,0,6295,1,0,0,1,0,1,1
M,3. Other,2. Other,BIPOC,Not first gen,1,0,280311,,3750,,,,,3750,73900,1,0,1,0,3750,1,0,1,0,0,1,0
M,3. Other,2. Other,BIPOC,Not first gen,1,0,136601,,,,,3000,,,37939,1,0,0,0,,0,0,0,0,1,1,0
M,3. Other,2. Other,Not BIPOC,Not first gen,1,1,56959,1847.5,,,1525,,,,2614,1,1,0,0,1847.5,1,0,0,1,0,1,1
M,3. Other,2. Other,BIPOC,Not first gen,1,0,142994,,,,2000,,,24000,96667,1,0,0,0,,0,0,1,1,0,1,1
M,1. Rural,1. Rural/Small Rural,Not BIPOC,Not first gen,1,1,57076,2795,6500,,5850,,2950,6500,3588,1,1,1,0,9295,1,1,1,1,0,1,1
F,3. Other,2. Other,BIPOC,Not first gen,1,0,145103,,,,,3133.47,2000,,73534,1,0,0,0,,0,1,0,0,1,1,0
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,205514,,,,,10000,1000,,39056,1,0,0,0,,0,1,0,0,1,1,0
