Gender,Rural_or_not,BIPOC_or_not,FirstGen_or_not,Completed_FAFSA,Exp_FamilyContribution,Adjusted_GrossIncome,Got_FedGrants,Got_NeedBasedAid,Got_Any_Aid
F,0,0,0,1,3012.0,44650.0,1,1,1
M,1,0,0,1,93978.0,197035.0,0,0,0
F,0,0,0,1,32970.0,134154.0,0,0,1
F,0,1,0,1,3065.0,65865.0,1,1,1
F,0,1,0,1,68851.0,190895.0,0,0,1
F,0,1,1,1,19886.0,97519.0,0,0,1
M,0,0,0,1,9317.0,105552.0,0,1,1
M,0,0,0,1,23197.0,112480.0,0,0,1
F,0,0,0,1,39067.0,135657.0,0,0,1
M,0,0,0,1,3326.0,20281.0,1,1,1
M,0,1,0,1,50410.0,184191.0,0,0,1
F,0,0,0,1,81590.0,182886.0,0,0,1
M,0,0,0,1,33998.0,148648.0,0,0,1
M,0,1,0,1,8807.0,52707.0,0,1,1
F,0,1,1,1,968.0,38539.0,1,1,1
F,0,1,1,1,6240.0,70635.0,0,1,1
M,0,0,0,1,3247.0,44869.0,1,1,1
M,0,0,0,1,117957.0,180228.0,0,0,1
M,0,0,0,1,3684.0,74170.0,1,1,1
F,0,1,1,1,309.0,27959.0,1,1,1
M,0,1,1,1,67715.0,224903.0,0,0,1
F,0,0,0,1,82400.0,362140.0,0,0,1
F,0,1,0,1,56499.0,182558.0,0,0,1
F,0,0,0,1,20113.0,180438.0,1,1,1
F,0,0,1,1,11743.0,78172.0,0,1,1
M,0,1,0,1,17802.0,139537.0,0,1,1
F,0,1,1,1,2552.0,84571.0,1,1,1
F,0,0,0,1,26700.0,197233.0,0,0,1
F,0,0,0,1,21413.0,143178.0,0,0,0
M,0,1,0,1,7228.0,53380.0,0,1,1
M,0,0,0,1,6341.0,59681.0,0,1,1
F,0,1,1,1,172.0,48823.0,1,1,1
F,0,0,1,1,76032.0,265727.0,0,0,1
F,0,0,1,1,60332.0,236863.0,0,0,0
F,0,0,0,1,73320.0,212510.0,0,0,1
M,0,1,1,1,13038.0,81956.0,0,1,1
